VVVHS,S2REP,DpRVIVV,AWEIsh,BAI,VVVHD,agb
-26.67307028282729,711.7095256949874,2.380349947098898,-0.6342351999146238,45.387211201615536,5.072550435519272,41.09
-49.29700478231871,706.2669974403365,2.1572072985595554,-0.9076333578862178,6.279816282941043,3.8749244744529,0.0
-39.246414078271215,715.9930033944452,2.3258602987111563,-0.8986188357926547,10.51202490882896,6.394424107443598,6.05
-43.669088775347035,711.4542594947417,2.3694025842040767,-0.9683766435115764,8.45731220560039,8.065737121725224,0.0
-39.61764779413467,704.5544480861256,2.1462857723487705,-0.9566330223148516,8.732196628139347,2.8977491031032727,0.61
-32.93955993570838,712.4212066422999,2.400798666818437,-0.5067529204514185,60.15363433762559,6.601065853908954,13.34
-38.568457082787205,712.4139340727362,2.191725036373971,-0.8639560786329271,10.893713954035176,3.697269418542657,6.98
-35.37835986524746,712.4056165747296,2.213435700771817,-0.815778532176938,12.91374547950604,3.775502514998305,8.8
-39.30965830452554,711.5460916625027,2.2807589146235085,-0.8741324242040367,11.201845452089636,5.51826849989979,3.55
-34.45126664758648,714.8090930726542,2.3070912383131117,-0.7304144157428722,23.895469146394245,5.289841068131265,1.52
-30.057568175445184,711.7385181316395,2.435632390174691,-0.5668949247953984,41.426527124834,6.54702513355395,24.78
-44.20659715091527,713.7489322185246,2.259630797836127,-0.9612918467169532,9.771648809719013,5.738697043956197,0.0
-26.64507808593489,718.1148876088964,2.2736697340908303,-0.7427700118105358,18.776971022293235,3.6459757173036063,0.0
-35.11602551209818,718.0868533269271,2.474509363618839,-0.6441775694982533,30.72001847039401,8.331441459284305,7.4
-31.98046560144613,718.9169652201481,2.520257840640717,-0.8117866470087742,16.185316697691526,8.319043988246538,1.93
-43.56166620826841,712.1182756765929,2.2680565750981994,-0.8734138384951575,12.16793210545374,5.8384955246796935,2.47
-42.364978973056736,717.5797507504067,2.2720647010951125,-0.92172613822159,11.588469210239609,5.763007670602704,0.0
-30.72152232479469,715.946331326613,2.523683213438865,-0.5548957911851823,31.97310783313785,8.044172766391156,35.63
-36.0507748553366,717.5077450308469,2.4831686217339897,-0.7421637182985279,22.6519334408499,8.709301599647677,2.92
-27.43750270471699,718.5001726342834,2.441569148175058,-0.6022977698360122,18.685338918103454,6.057777348686363,22.55
-42.4440216492194,715.8272430936476,2.1503487098321967,-0.957718158328476,9.763896884007336,3.190701947524986,1.83
-42.34433223565115,715.9684195263436,2.1970272924563807,-0.9705811574634524,8.560677356807481,4.1714945656318925,0.0
-34.49095389425959,716.9364640344256,2.35929302612379,-0.8879681557826571,14.27871299830553,6.196179599282326,0.0
-26.725046627677855,717.1811976252426,2.4670467220497945,-0.3778596590269646,44.45050030590442,6.240922712042426,19.92
-51.64492222383552,697.8230549468626,2.1625472790843054,-0.9386016135358372,7.840614322273762,4.19737079300252,0.0
-48.878929826966754,696.6779946794551,2.194510965225889,-0.8739608873371525,6.563388082051863,4.753743909925909,0.0
-32.092617857129504,717.2723983228869,2.580627205852623,-0.8534086535022781,13.326884340275402,9.316923517440548,9.9
-47.84211574381858,710.6138547491292,2.1685947733003177,-0.8686688663777864,9.813925119176448,4.032965329018321,2.45
-35.724678325196315,714.7010441418214,2.4094530280014164,-0.5039556530843065,47.37948742180986,7.313788857314101,6.75
-25.1067324628228,717.2495713628025,2.456920699305654,-0.657753288562579,33.23425065428921,5.7358928770964805,41.75
-30.2595351892927,720.7416197710852,2.348085669663864,-0.7187039844402576,22.50205409437499,5.266455285041102,25.83
-30.310923688413048,715.4666544406947,2.423165703740049,-0.4562835375381801,69.2827475951708,6.41327167680911,15.82
-26.810309589100253,719.0730588293221,2.498266070042535,-0.6068040778313099,19.606540653102964,6.679333797792335,18.68
-29.493923460586753,712.1090299565413,2.379598602874656,-0.6792430422044389,26.047001436266175,5.597926069465384,3.78
-32.344236333667546,715.1117924744345,2.3796949747231513,-0.624861626221483,34.235821767465296,6.140471998575762,7.26
-40.007692085217656,711.9112075134368,2.34691948720883,-0.8034607362560575,21.489059247036963,6.9397240113062395,1.04
-32.19449364243441,713.614184012066,2.3994394231888965,-0.543322639392599,42.14588542426618,6.429874985196296,25.92
-41.84838658704556,704.3073562902279,2.348170911676958,-0.8779186303221252,10.379560821998991,7.285195455110717,4.71
-37.83573099199836,714.9243589072128,2.4297848783332525,-0.8371613556229922,18.24394404609372,8.130612520522847,8.7
-31.67968428210134,713.9863216178801,2.4437677864141207,-0.5713745961261302,28.422987408854095,7.029211684083167,14.59
-31.938305330369044,717.5214037007939,2.563989108057957,-0.6553512034882213,39.08477516462946,9.006428168078767,13.46
-37.85835800920466,721.995654651524,2.287822496512101,-0.9378410840223456,9.020885036148938,5.448243558029077,8.82
-44.140029365848434,706.0006036846082,2.2223898227696552,-0.9247757581504956,8.681091569244485,4.908146653859202,3.8
-25.425536490435235,715.2060064532664,2.502396440883874,-0.5493733481173823,51.967995414863616,6.3868495201788615,21.92
-49.170379149077434,701.6497815459434,2.04605651292088,-0.933782749565706,7.348380935825397,1.1323081013020335,0.0
